22:10:44: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 48] Logger initialized for Command Worker
22:10:51: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:51: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: 1.02 degrees
22:10:52: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:52: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: 0.18 degrees
22:10:52: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:52: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: 1.02 degrees
22:10:53: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:53: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: 2.04 degrees
22:10:53: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:53: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: 3.05 degrees
22:10:54: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:54: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -1.43 degrees
22:10:54: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:54: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -1.02 degrees
22:10:55: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:55: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -2.04 degrees
22:10:55: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:55: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -1.02 degrees
22:10:56: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:56: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -2.04 degrees
22:10:56: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] CHANGE_ALTITUDE: 0.00 m
22:10:56: [INFO] [C:\Users\Happy\Desktop\OneDrive\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] CHANGING_YAW: -3.05 degrees
